NDB_No,Restaurant,Shrt_Desc,Energ_Kcal,Protein_(g),Lipid_Tot_(g),Iron_(mg),Sodium_(mg),Cholestrl_(mg),Carbohydrt_(g),Water_(g)
21356,McDonald's,MCDONALD'S_MCCHICKEN SNDWCH (WITHOUT MAYONNAISE),240,11.08,8.46,1.78,555,22,30.95,47.43
21357,McDonald's,MCDONALD'S_EGG MCMUFFIN,228,13.64,9.66,2.3,617,165,21.67,52.58
21358,McDonald's,MCDONALD'S_SAUSAGE MCMUFFIN,333,12.66,21.06,2.04,693,39,24.52,38.94
21359,McDonald's,MCDONALD'S_SAUSAGE MCMUFFIN W/ EGG,274,12.59,17.83,1.97,572,154,17.28,49.96
21360,McDonald's,MCDONALD'S_BACON EGG & CHS BISCUIT,304,13.45,18.77,2.13,863,167,22.26,42.29
21361,McDonald's,MCDONALD'S_SAUSAGE BISCUIT,376,9.62,25.4,2.01,875,29,27.2,34.71
21362,McDonald's,MCDONALD'S_SAUSAGE BISCUIT W/ EGG,311,11.27,22.26,2.03,664,152,19.28,44.62
21363,McDonald's,MCDONALD'S_DELUXE BRKFST_W/ SYRUP & MARGARINE,285,7.56,15.23,1.5,437,109,29.48,45.91
21364,McDonald's,MCDONALD'S_HOTCAKES & SAUSAGE,294,7.81,12.5,1.41,484,19,37.55,40.7
21365,McDonald's,MCDONALD'S_HOTCAKES (WITH 2 PATS MARGARINE & SYRUP),272,4.05,8.06,1.28,283,9,46.08,40.6
21376,McDonald's,MCDONALD'S_BACON RANCH SALAD W/ GRILLED CHICK,81,10.28,3.14,0.65,230,28,3.64,81.42
21377,McDonald's,MCDONALD'S BACON RANCH SALAD W/ CRISPY CHICK,122,8.82,6.3,0.61,273,22,6.08,77.38
21378,McDonald's,MCDONALD'S_BACON RANCH SALAD WO/ CHICK,61,4.14,3.64,0.67,132,12,4.2,87.2
21379,McDonald's,MCDONALD'S_SIDE SALAD,20,1.03,0.19,0.65,12,0,4.3,93.93
21380,McDonald's,MCDONALD'S_FRUIT 'N YOGURT PARFAIT,105,2.73,1.3,0.45,58,5,20.72,74.61
21381,McDonald's,MCDONALD'S_FRUIT 'N YOGURT PARFAIT (WITHOUT GRANOLA),90,2.47,1.13,0.36,38,5,17.67,78.18
21382,McDonald's,MCDONALD'S_FILET-O-FISH (WITHOUT TARTAR SAUCE),243,12.47,7.62,1.64,464,25,31.08,46.9
21383,Burger King,BURGER KING_CROISSAN'WICH W/ SAUSAGE_EGG & CHS,308,12.09,21.78,1.65,577,123,15.9,48.1
21384,Burger King,BURGER KING_CROISSAN'WICH W/ SAUSAGE & CHS,376,13.73,25.45,1.87,782,43,23,35.08
21385,Burger King,BURGER KING_CROISSAN'WICH W/ EGG & CHS,283,10.35,15.78,1.9,650,139,24.79,46.4
